Title,Alternative title,Id
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Tsuujou Kougeki ga Zentai Kougeki de Nikai Kougeki no Okaasan wa Suki Desuka?,17350
Doctor Elise: The Royal Lady with the Lamp,Gekai Elise,39611
Dog & Scissors,Inu to Hasami wa Tsukaiyou,13967
Dog Days,,19515
Dog Days S2,,19586
Dog Days S3,,20942
Dogeza: I Tried Asking While Kowtowing,Dogeza de Tanondemita,20892
Dokushin Apartment Dokudami-sou,Dokushin Apaato Dokudami-sou,31674
Domestic Girlfriend,Domestic na Kanojo,16617
Dominion Tank Police,Dominion,38815
"Don't Toy with Me, Miss Nagatoro","Ijiranaide, Nagatoro-san",21648
"Don't Toy with Me, Miss Nagatoro 2nd Attack","Ijiranaide, Nagatoro-san 2nd Attack",34842
Dorohedoro,,18951
Dororo,,17325
Doukyuusei 2,End of Summer 2,31677
Doukyuusei 2 Special: Sotsugyousei,Classmates 2 Special: Graduation,31844
Dr. Ramune: Mysterious Disease Specialist,Kai Byoui Ramune,20447
Dr. Stone,,17365
Dr. Stone: New World,Dr. Stone 3rd Season,36315
Dr. Stone: Stone Wars,Dr. Stone Season 2,20486
Dragon Ball,,4414
Dragon Ball GT,,4269
Dragon Ball Super,,2401
Dragon Ball Z,DBZ,4880
Dragon Crisis,,9037
Dragon Goes House-Hunting,"Dragon, Ie o Kau",24931
Dragon Half,,35099
Dragon Quest 1989,,18263
Dragon Raja,Long Zu,40853
Dragonar Academy,Seikoku no Dragonar,493
Dragonaut - The Resonance,,13790
DRAMAtical Murder,,829
Dream Dimension Hunter Fandora,Mujigen Hunter Fandora,13151
Dream Eater Merry,Yumekui Merry,6888
Drifters,,7746
Drifting Dragons,Kuutei Dragons,19935
Dropkick on My Devil!,Jashin-chan Dropkick,15750
Dropkick on My Devil!! Dash,Jashin-chan Dropkick S2,18914
Dropkick on My Devil!! X,Jashin-chan Dropkick X,31113
Dropout Idol Fruit Tart,Ochikobore Fruit Tart,26330
Drug Store in Another World: The Slow Life of a Cheat Pharmacist,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,24243
Durarara!!,,26620
Durarara!! X2,Durarara!!x2,26649
Dusk Maiden of Amnesia,Tasogare Otome x Amnesia,25186
D_Cide Traumerei the Animation,,24849
Ear of the Golden Dragon,Kouryuu no Mimi: Mina no Shou,31682
Ebiten: Ebisugawa Public High School's Tenmonbu,,11829
Eden (2021),,23618
Eden's Bowy,,23938
Edens Zero,,21275
Ef: A Tale of Memories,ef - a tale of memories.,25089
Eien no Filerna,Eien no Filena,31556
